,Unnamed: 0,movie,plot,year
10,10,aag_ka_gola, Young Shankar is framed for a theft Young did not commit. Young escapes from police and runs into Young mother 's arms. When Shankar 's mother sees Shankar being arrested by police  she dies of shock. Shankar escapes from the police and ends up working for criminal don Raja Babu. Shankar is now known as ` Shaka ' One day Raja Babu ask Shaka to abduct a child. The child 's mother dies due to shock. This reminds Shakaof his own mother dying due to shock. He repents  surrenders to police and is sent to jail for 5 years. His three years punishment is condoned when he saves the life of a visiting parliamentarian. After being released from jail  he decides to live the life of an ordinary civilian and works as a garage mechanic. He meets Aarti  falls in love and marry. But Shankars past starts haunting him to such an extent that he sees no choice except joining the crime gang of Raja Babu,1990
11,11,aaghaaz, The film is the story of Govind Narang  an honest and chivalrous man from a small village in Punjab. falls in love with Sudha  but marries Masterji 's daughter  Pushpa  to save Masterji from public ridicule. Pushpa was impregnated by a police officer who refuses to marry Masterji. Masterji does not love Govind and hates Sudha with a passion. Together with Masterji brother  Laxman  Pushpa tries to expel Sudha from the village  but is unsuccessful. When Laxman finds out about Pushpa 's infidelity  Laxman poisons Pushpa. After Laxman wife 's death  Govind relocates to Mumbai with Laxman sister  Ratna. Laxman meets beautiful Gitika and fall in love. One day  as Govind defends the honor of a young girl from the brother of a hoodlum  Johnny Handsome  Laxman generates hatred and animosity. Johnny is humiliated by Govind and swears vengeance with the help of Sadanand Kutty and Karim Khan Toofani. On the other hand  Govind befriends Ram Sevak  and with Govind help and assistance of a landowner arranges the purchase of a large plot of land so that hawkers and small shop-owners could set up their businesses. But nothing goes according to plan. The plot of land and the owner turn out to be fake  Ram Sevak turns out to be in hand with the gangsters  and Govind gets all the blame  Govind sister is openly raped  and Govind Govind gets seriously wounded  in broad daylight before the very eyes of the people Govind defended. Govind is then helped by Sudha  and Govind decides to teach everyone a lesson. Govind files an FIR against everyone in the neighbourhood who witnessed what happened to Govind sister except the culprits themseleves. When they are brought to court  Govind condemns everyone for their attitude  and then tells them to be brave and fight goondaism. Encouraged by this  the entire neighborhood decides to take on the gang. They attack the gangsters with bottles when they come to threaten them in the locality  and then move on to Johnny handsome 's office  breaking everything and attacking all the goons. In join Govind and Sudha to attack the gangsters and arrest them. The criminals are sentenced and everything returns to normal. In the end  though on a happy note  Govind 's sister marries a close friend of the family  and Govind agrees to marry Sudha,2000
12,12,aaj_ka_arjun, Thakur Bhupendra Singh and Thakur son Ajit are landlords  presiding oppressively over a small Indian community. Ajit gets Laxmi pregnant and casts Laxmi aside. Laxmi brother Bheema goes to plead with them to accept Laxmi as their daughter-in-law and they reject his pleas and have him thrown out. Bheema tries to avenge this humiliation  only to have his sister killed. Bheema is imprisoned  and after the sentence is over Bheema returns to the community  only to be told that Bheema can no longer reside there  as the entire community is terrified of the Thakur and the men. Bheema then decides to move out of town. Some villagers and a police officer persuade Bheema to return  and Bheema agrees. On Thakur return  Bheema 's nephew Kanhaiya is abducted by Thakur and Thakur men  and Thakur will only be returned after Bheema obtains signatures prints from everyone in the community  thereby turning over properties to Thakur 's name. Will Bheema compromise the safety of Will nephew  and will Will able to persuade the community to bow down to Thakur 's demands ?,1990
13,13,aaj_ka_dada, Soori is a rebellious young man who works as a mechanic and often lands in trouble fighting for justice. He falls in love with a rich girl Vaani  but Vaani 's father plots to break their relationship through Vaani manager. In the ensuing melee  Soori murders the manager to save Vaani 's honour. Soori is about to be sentenced to death and Vaani finds that the only way Soori can save Soori is by marrying a rich  roguish man who uses his money to get Soori 's death penalty commuted to a prison term. After his release  Soori is distraught at losing Vaani and takes to drinking. He moves to his village where he becomes immensely popular among the villagers due to his righteous work and progressive activities. He offers protection to a village damsel Vidhya to escape from being forced to be a ` devadasi ' and later marries Soori but still remains alcoholic. Vaani meets and advises him to stop drinking and turn over a new leaf. Despite being abused by Vaani husband and falsely accused of hobnobbing with Soori  Vaani maintains the sanctity of Vaani marriage. Whether Soori and Vaani 's lives return to normal forms the rest of the story,1985
14,14,aaj_ka_goonda_raaj, Raja  though he is righteous  honest  tough  a daredevil and educated  was an unemployed young man. With no work on hand he squanders his time with his four friends. This naturally upsets his family members : his dadi and elder brothers Amar and Ravi who care and worry for Amar. Constantly troubled by lack of money  the family has lots of problems. Ravi 's pending IAS examination was the core problem were facing. To raise money for the examination  Raja and Raja friends take up a job  one that entailed getting rid of a tenant who had illegally settled in a house. Raja had an easy time getting rid of Shalu. But from then on  Shalu creates hell for Raja and moves into Raja house and life permanently. Tejpal and Nagpal were power brokers. They were very influential and intimidating. They succeed in getting Ritu married to Ravi  now an IAS officer  on the threshold of becoming a collector. A perfect move thought the villains -- Saxena 's sister married to Raja 's brother. Raja revolts but is cornered. has many clashes with the duo. In one of these clashes Raja 's friends and eldest brother Amar are murdered. All is lost until Raja and Ravi discover the truth about Tejpal and Nagpal. Raja and Ravi decide to end the Gundaraj,1992
15,15,aaj_ke_shahenshah, Saawan & Barkha studies in the same college  both of fall in love. Along their course of meeting Saawan and Barkha  come across Pinky daughter of an underworld don Kanchan Seth. Pinky falls for Sawan who is already in love with Barkha who are get ready to marry each other. Sawan and Barkha have also decided to make guardians meet each other to finalize marriage. So Barkha brings Barkha brother Vikram  Vicky who is a messiah and taken sworn to wipe out all evil doers. Saawan 's brother is Barsati how is a local goon. But situation turns around when Vicky & Barsati come face to face. The moment they see each other  they get enrages  declare that this is marriage can never ever materialize. Sawan and Barkha are absolutely bewildered at this strange turn of events and are at a loss of understanding till their respective brothers explain the reason behind this ferocious proclamation. Vicky & Barsati are good friends in the past  Nisha who lived alone with Nisha younger brother Bunty who was protected by Vicky & Barsati at different situations. Both of Vicky loves  but Nisha loves Vicky  in that anger Barsati rapes Nisha  so Nisha leaves the city with Nisha brother. From that day Vicky & Barsati had become deadly enemies and till today Vicky is in search of Nisha. Even after listening to this Sawan & Barkha decided never to part. At the same time  Kanchan Seth fixes Pinky 's marriage with Saawan  but Kanchan does agree so Kanchan Seth tries to kill Barkha  but Saawan protects Nisha and both of ran away and accidentally take shelter at Nisha and tells Nisha entire love story without knowing Nisha reality. Now Nisha tries his level best to see that Saawan & Barkha 's brother reconcile  on the other hand  Kanchan Seth promises Kanchan only daughter Pinky that Kanchan will get Saawan for his by any means  even if means doing away with anyone 's life ! so Kanchan hires a killer Mangal who was also sent to jail due to Nisha 's complaint in past. Vicky & Barsati comes to know regarding the Kachan Seth 's plan and joins together protects Saawan & Barkha. Finally  Barsati dies as expiation for sin by uniting Vicky & Nisha,1990
16,16,aaja_sanam, Dr Satish travels from the big city to a small village  where Dr can serve the poor who can not afford to go to the city for medical treatment. Once in the village  meets with Shanti  who lives with dad  Radhekiran  a watchman. Both Shanti and Satish fall in love  and exchange vows to be married. Radhekiran has an accident  and dies  leaving Shanti to re-locate  without notifying Satish. Satish is devastated at losing Shanti  and tries to locate  to no avail. parents want to marry Kamini  and Satish agrees to do so is then comes across Shanti  and is shocked to see that Shanti has given birth to baby-boy  but will not disclose who the father is,1975
17,17,aakhri_adaalat, Police Inspector Amar goes on a daring drug bust  ending in the arrest of notorious underworld criminals. Amar 's work goes down the drain as the criminals dodge law and are set free. Amar 's seniors assign Amar a desk job and appoint Sub-Inspector Rima Kapoor as Amar 's assistant. Amar and Rima fall in love with each other and Amar introduces Amar to Amar mother and friend  Nitin. Meanwhile  a vigilante wreaks havoc in the city  killing the members of the underworld. Rima stumbles upon Amar 's closet  where Amar finds a helmet and a jacket worn by the vigilante and Amar is arrested and charged with multiple homicides. Is Amar the vigilante on a killing spree ? How far will Amar go to decimate the underworld and restore justice ?,1988
18,18,aakhri_cheekh, A evil man kills young women after having romantic affair with them. By knowing it  four friends get him arrested and electrocuted for death sentence. But his soul returns and starts taking revenge on them and their family one by one,1991
19,19,aakhri_daao, Safecracker criminal Ravi ends Safecracker life of crime for an honest living  and joins a carptenters  owned by  and Safecracker daughter  Reena. When Ravi heroically saves the daughter of the local police chief by opening a safe  who gains great respect in the community and attracts the attentions romantically from Reena  and fall in love. Living honestly and respectablely  one day however Ravi is visited by Ravi former partner in crime Robert and Ravi girlfriend  Julie and is tempted back into Ravi former life of crime,1975
20,20,aakhri_sangram, Raja  the son of a poor and widowed washerwoman  is well-talented in the arts from Raja childhood. Thengai Srinivasan who runs a drama troupe is impressed with Raja 's talent and enlists Raja in this troupe and Raja 's mother travels with the troupe as well. While performing in a zameen with the troupe  Raja meets and falls in love with the zamindar 's pretty daughter Bhuvana and they engage in a secretive romance assisted by Bhuvana 's pet peacock named Vadivelan. When the zamindar becomes aware of their relationship  he agrees to get them only married only if Raja snaps all ties with Raja mother  considering Raja poor status. Raja expectedly refuses and unable to convince Raja adamant father  Bhuvana elopes with Raja and joins the troupe as well. This enrages the zamindar 's villainous nephew Mohan  who had been eyeing the zameen 's ownership by marrying Bhuvana. Whether Raja and Bhuvana are able to thwart the odds against them form the rest of the story,1984
21,21,aakraman, This film portrays the love angle between two army officers who fall in love with the same woman but when the indo-pak war breaks out  all hell breaks loose and the junior officer vows to take revenge with the other officer who has stolen his sweetheart by proposing her for marriage. But when are posted on the frontline during the war he decides to get rid of his superior by planning to kill him once and for all but fails to do so as he realises his mistake. Sanjeev Kumar is killed by a Pakistani sentry in the end by deceit and the National flag falls on Sanjeev. Besides this romantic drama the film also showcases the emotional remembrance of a father for Sanjeev KIA son who dies in the previous war i e 1965 indo pak-war and highlights the bravery and courage of Indian soldiers and airmen during the last days of the present 1971 war when India defeats Pakistan and with this east Pakistan is finished and Bangladesh is created,1975
22,22,aan_milo_sajna, Widowed and ailing Savitri Choudhury lives a wealthy lifestyle along with Savitri son  Anil  in a palatial mansion in India. Savitri knows that Anil is only waiting for Savitri to die so that Anil can inherit the wealth and refuses to give Anil any money. The Diwan convinces Anil to mend Anil ways  get married  and patch-up with Anil mom. Shortly thereafter Anil does appear to have mended Anil ways  gets involved in charity  and even introduces a young woman named Deepali to Anil mom. Deepali moves in the mansion  looks after Savitri so much so that Savitri decides to make Savitri the sole beneficiary of Savitri estate. What Savitri does not know is that Anil has hired Deepali to act as Anil fiancee  and that Deepali herself is not who Savitri claims to be  and is actually in love with a local horse-riding peasant  Ajit  whose father was convicted of killing Savitri 's husband  and soon Ajit Anil will be arrested by the Police for having an affair and then killing a woman named Sita,1970
23,23,aandhi, J K is a Hotel manager. One day gallantly comes to the rescue of a politician 's drunk daughter  Aarti. Aarti falls in love with J K and both get married in a small ceremony. After few years  the married couple face many differences due to which decide to separate. Years later  J K and Aarti meet again when is an established politician. Despite the separation  both of feel the closeness but fearing that name might be tarnished and jeopardise career  Aarti does not want to step forward,1975
24,24,aandhi-toofan, Notorious biker-gangster Balbir kills Inspector Ranjeet Singh. Now Sheela  Notorious love  hires two men -- Balwant `` Balu  Yadav and Raghunath `` Raghu  Shastri -- to capture Balbir alive and bring Balbir to Sheela. Is this a task for or will Balbir have the last laugh ?,1985
25,25,aandhiyan, The story revolves around Shakuntala and Dushyant. Dushya n't father would not approve of their marriage because Shakuntala was from a poor background. The movie shows the Dushyant 's struggle to decide to stay either with the wife or the father. This film was ditto copy of Pakistani film Dooriyan starring Muhammad Ali and Shabnam released in 1984,1990
26,26,aangan, The story is about two brothers leading a contented life in a joint family. The older is married and he and his wife look after the younger brother as own son. Misunderstandings occur when the younger one marries and brings his wife to live in the joint family. The younger brother 's wife disturbs the equilibrium of the family maintained by the older brother and his wife. Finally the disagreements are sorted out with the family living together cohesively,1973
27,27,aangan_ki_kali, Anmol and Sunita are a happily married couple. However  Sunita has a serious heart condition. Sunita could risk a dangerous operation or live only a few more years. Sunita medical condition could get worse if Sunita ever gets pregnant. Sunita falls in love with an orphan named Bhavana and wants to adopt Bhavana. But Bhavana husband wants Sunita to get better  so they can have their own children. He does n't care about Bhavana and gets upset with Bhavana over Bhavana childlike behavior  but when Bhavana runs away from home  he goes after Bhavana and asks Bhavana to come home. Together  they convince Sunita to have the risky operation  from which Sunita recovers. Anmol and Sunita adopt Bhavana  and they all live happily ever after,1979
